filename,year_month,title,avg_sentiment
2024-01-13_1415.txt,2024-01,Shot in ‘cold blood’: Killing of Palestinian grandmother sparks outcry,0.63
2024-01-16_1381.txt,2024-01,Palestinian village fears Israel wartime demolitions,0.7
2024-01-17_1370.txt,2024-01,"Israel’s war on Gaza: List of key events, day 103",1.0
2023-10-24_2876.txt,2023-10,UN chief says ‘clear violations of international humanitarian law’ in Gaza,0.41
2023-10-29_2743.txt,2023-10,"Biden discusses ‘accelerating’ aid to Gaza in calls with Netanyahu, el-Sisi",0.59
2024-01-14_1402.txt,2024-01,Iran vs Palestine 4-1: AFC Asian Cup 2023 – as it happened,1.33
2023-10-10_3259.txt,2023-10,"What we know: The number of foreigners killed, missing, abducted in Israel",0.58
2023-10-04_3315.txt,2023-10,Israeli settlers storm Al-Aqsa Mosque complex on fifth day of Sukkot,0.87
2023-10-26_2841.txt,2023-10,Israel stages large overnight ground raid into Gaza Strip,0.67
2024-01-03_1512.txt,2024-01,Hezbollah chief says group won’t ‘be silent’ after killing of Hamas leader,0.96
2024-01-18_1358.txt,2024-01,Maghazi residents left reeling after Israeli forces withdraw,0.62
2023-10-16_3100.txt,2023-10,"Hamas warns of environmental crisis as 1,000 bodies still under Gaza rubble",0.57
2023-10-18_3043.txt,2023-10,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,0.55
2023-10-14_3136.txt,2023-10,Israel-Gaza war: Why is Africa divided on supporting Palestine?,0.93
2023-10-12_3200.txt,2023-10,Photos show scale of the destruction of Israel air attacks on Gaza,0.33
2024-01-15_1389.txt,2024-01,"This past week, we all became South Africans",0.57
2023-10-18_3025.txt,2023-10,‘No work back home’: Lebanon’s foreign domestic workers fear Israel war,0.75
2023-10-19_2986.txt,2023-10,"Palestinian teacher determined to stay in Gaza, whatever the cost",0.88
2024-01-11_1437.txt,2024-01,"Blinken says path to a Palestinian state can stabilise region, isolate Iran",0.71
2023-10-13_3161.txt,2023-10,What Gaza infrastructure has been damaged since Israel declared war?,0.75
2023-10-18_3023.txt,2023-10,Could a warning by the ICC deter war crimes in Israel-Gaza conflict?,0.82
2024-01-15_1392.txt,2024-01,"‘Baba, this isn’t camping’: On being displaced by Israel’s war on Gaza",0.71
2023-10-30_2722.txt,2023-10,Analysis: The foreign factors in Israel’s war on Gaza,0.77
2023-10-23_2902.txt,2023-10,Western feminism and its blind spots in the Middle East,0.61
2024-01-06_1488.txt,2024-01,Hezbollah fires rockets at Israel in ‘response’ to Hamas leader’s killing,0.88
2024-01-12_1420.txt,2024-01,Israel rejects accusations of genocide in Gaza war at ICJ hearing,0.44
2023-10-19_2992.txt,2023-10,My struggle as a ‘displaced’ Gaza mother as Israel bombs my people,0.72
2024-01-12_1417.txt,2024-01,‘Dangerous’: US attacks on Yemen’s Houthis belie push for de-escalation,0.67
2023-10-27_2810.txt,2023-10,"Israel-Hamas war: List of key events, day 21",1.0
2023-10-31_2683.txt,2023-10,Has Israel achieved its objectives by launching wars on Gaza?,0.83
2024-01-11_1438.txt,2024-01,ICJ hears South Africa’s genocide case against Israel over Gaza war,0.8
2023-10-22_2922.txt,2023-10,Second aid convoy enters Gaza as Israel steps up bombardments,0.58
2023-10-31_2705.txt,2023-10,"Japan sanctions individuals, company over links to Hamas",0.85
2023-10-29_2755.txt,2023-10,‘It’s scary’: Israel war fears batter Lebanon’s struggling economy,0.73
2023-10-11_3221.txt,2023-10,Israel-Gaza: Collective punishment of millions not justified – Humza Yousaf,0.63
2023-10-22_2918.txt,2023-10,Will Hezbollah launch an all-out war on Israel?,0.8
2024-01-16_1377.txt,2024-01,Strike threat over claim pro-Israeli lobby forced out Australian journalist,0.74
2023-10-25_2848.txt,2023-10,Analysis: Why hasn’t Israel launched a ground invasion of Gaza yet?,0.63
